,id,season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
334,335,2012,Delhi,9,3,3,1,normal,0,9,20,0,9
335,336,2012,Mumbai,8,5,8,0,normal,0,5,0,6,40
336,337,2012,Cuttack,1,7,7,1,normal,0,7,0,5,1
337,338,2012,Jaipur,13,10,10,1,normal,0,13,46,0,32
338,339,2012,Pune,9,3,9,0,normal,0,3,0,8,37
339,340,2012,Chandigarh,5,8,5,0,normal,0,8,0,4,27
340,341,2012,Pune,1,9,1,0,normal,0,1,18,0,37
341,342,2012,Delhi,3,8,8,1,normal,0,3,37,0,9
342,343,2012,Chennai,5,0,5,0,normal,0,5,7,0,20
343,344,2012,Kolkata,7,13,7,0,normal,0,7,47,0,8
344,345,2012,Delhi,3,10,3,0,normal,0,3,1,0,9
345,346,2012,Mumbai,1,8,8,1,normal,0,8,0,5,40
346,347,2012,Chennai,0,7,0,0,normal,0,7,0,5,20
347,348,2012,Cuttack,1,9,1,0,normal,0,1,13,0,1
348,349,2012,Jaipur,10,3,10,0,normal,0,3,0,6,32
349,350,2012,Bangalore,13,5,5,1,normal,0,5,0,4,17
350,351,2012,Pune,8,9,8,0,normal,0,8,1,0,37
351,352,2012,Chennai,0,1,0,0,normal,0,0,10,0,20
352,353,2012,Kolkata,7,9,7,0,normal,0,7,7,0,8
353,354,2012,Chandigarh,10,5,10,0,normal,0,10,43,0,27
354,355,2012,Mumbai,0,8,8,1,normal,0,8,0,2,40
355,356,2012,Bangalore,1,13,13,1,normal,0,13,0,5,17
356,357,2012,Delhi,3,7,3,0,normal,0,7,0,6,9
357,358,2012,Pune,9,10,9,0,normal,0,10,0,7,37
358,359,2012,Hyderabad,5,1,1,1,normal,0,5,25,0,28
359,360,2012,Mumbai,8,13,13,1,normal,0,13,0,9,40
360,361,2012,Jaipur,10,0,0,1,normal,0,0,0,4,32
361,362,2012,Pune,13,9,9,1,normal,0,13,35,0,37
362,363,2012,Kolkata,8,7,8,0,normal,0,8,27,0,8
363,364,2012,Chennai,3,0,0,1,normal,0,0,0,9,20
364,365,2012,Jaipur,10,9,10,0,normal,0,10,45,0,32
365,366,2012,Chandigarh,1,5,1,0,normal,0,5,0,4,27
366,367,2012,Bangalore,13,8,8,1,normal,0,8,0,5,17
367,368,2012,Kolkata,7,0,0,1,normal,0,0,0,5,8
368,369,2012,Delhi,5,3,5,0,normal,0,3,0,5,9
369,370,2012,Mumbai,7,8,8,1,normal,0,7,32,0,40
370,371,2012,Dharamsala,0,5,5,1,normal,0,5,0,6,12
371,372,2012,Delhi,13,3,3,1,normal,0,13,21,0,9
372,373,2012,Hyderabad,10,1,10,0,normal,0,1,0,5,28
373,374,2012,Dharamsala,5,3,3,1,normal,0,3,0,6,12
374,375,2012,Pune,7,9,7,0,normal,0,7,34,0,37
375,376,2012,Hyderabad,1,13,13,1,normal,0,1,9,0,28
376,377,2012,Jaipur,10,8,10,0,normal,0,8,0,10,32
377,378,2012,Pune,7,3,7,0,normal,0,7,18,0,37
378,379,2012,Bangalore,0,8,8,1,normal,0,0,38,0,17
379,380,2012,Chennai,0,3,3,1,normal,0,0,86,0,20
380,381,2012,Chennai,0,7,0,0,normal,0,7,0,5,20
381,382,2013,Kolkata,3,7,7,1,normal,0,7,0,6,8
382,383,2013,Bangalore,13,8,8,1,normal,0,13,2,0,17
383,384,2013,Hyderabad,14,9,9,1,normal,0,14,22,0,28
384,385,2013,Delhi,10,3,10,0,normal,0,10,5,0,9
385,386,2013,Chennai,8,0,8,0,normal,0,8,9,0,20
386,387,2013,Pune,9,5,9,0,normal,0,5,0,8,37
387,388,2013,Hyderabad,13,14,13,0,tie,0,14,0,0,28
388,389,2013,Jaipur,10,7,7,1,normal,0,10,19,0,32
389,390,2013,Mumbai,8,3,8,0,normal,0,8,44,0,40
390,391,2013,Chandigarh,5,0,0,1,normal,0,0,0,10,27
391,392,2013,Bangalore,7,13,13,1,normal,0,13,0,8,17
392,393,2013,Pune,10,9,10,0,normal,0,9,0,7,37
393,394,2013,Delhi,3,14,3,0,normal,0,14,0,3,9
394,395,2013,Mumbai,8,9,8,0,normal,0,8,41,0,40
395,396,2013,Chennai,13,0,0,1,normal,0,0,0,4,20
396,397,2013,Kolkata,7,14,7,0,normal,0,7,48,0,8
397,398,2013,Jaipur,5,10,10,1,normal,0,10,0,6,32
398,399,2013,Chennai,9,0,9,0,normal,0,9,24,0,20
399,400,2013,Chandigarh,5,7,7,1,normal,0,5,4,0,27
400,401,2013,Bangalore,3,13,13,1,tie,0,13,0,0,17
401,402,2013,Pune,14,9,9,1,normal,0,14,11,0,37
402,403,2013,Jaipur,10,8,10,0,normal,0,10,87,0,32
403,404,2013,Delhi,0,3,0,0,normal,0,0,86,0,9
404,405,2013,Hyderabad,5,14,5,0,normal,0,14,0,5,28
405,406,2013,Kolkata,7,0,7,0,normal,0,0,0,4,8
406,407,2013,Bangalore,10,13,13,1,normal,0,13,0,7,17
407,408,2013,Delhi,8,3,8,0,normal,0,3,0,9,9
408,409,2013,Chandigarh,9,5,5,1,normal,0,5,0,7,27
409,410,2013,Chennai,10,0,10,0,normal,0,0,0,5,20
410,411,2013,Bangalore,13,9,9,1,normal,0,13,130,0,17
411,412,2013,Dharamsala,5,3,3,1,normal,0,5,7,0,12
412,413,2013,Kolkata,7,8,7,0,normal,0,8,0,5,8
413,414,2013,Chennai,14,0,14,0,normal,0,0,0,5,20
414,415,2013,Kolkata,5,7,5,0,normal,0,7,0,6,8
415,416,2013,Jaipur,14,10,14,0,normal,0,10,0,8,32
416,417,2013,Mumbai,8,13,8,0,normal,0,8,58,0,40
417,418,2013,Chennai,0,7,7,1,normal,0,0,14,0,20
418,419,2013,Raipur,3,9,9,1,normal,0,3,15,0,33
419,420,2013,Jaipur,13,10,10,1,normal,0,10,0,4,32
420,421,2013,Mumbai,8,5,8,0,normal,0,8,4,0,40
421,422,2013,Pune,0,9,0,0,normal,0,0,37,0,37
422,423,2013,Hyderabad,8,14,8,0,normal,0,14,0,7,28
423,424,2013,Raipur,7,3,7,0,normal,0,3,0,7,33
424,425,2013,Chennai,0,5,0,0,normal,0,0,15,0,20
425,426,2013,Pune,13,9,13,0,normal,0,13,17,0,37
426,427,2013,Kolkata,10,7,10,0,normal,0,7,0,8,8
427,428,2013,Hyderabad,3,14,3,0,normal,0,14,0,6,28
428,429,2013,Bangalore,13,5,5,1,normal,0,5,0,7,17
429,430,2013,Mumbai,8,0,8,0,normal,0,8,60,0,40
430,431,2013,Jaipur,9,10,9,0,normal,0,10,0,5,32
431,432,2013,Bangalore,14,13,14,0,normal,0,13,0,7,17
432,433,2013,Jaipur,3,10,3,0,normal,0,10,0,9,32
433,434,2013,Mumbai,8,7,8,0,normal,0,8,65,0,40
434,435,2013,Hyderabad,0,14,14,1,normal,0,0,77,0,28
435,436,2013,Chandigarh,5,10,10,1,normal,0,10,0,8,27
436,437,2013,Pune,7,9,7,0,normal,0,7,46,0,37
437,438,2013,Delhi,13,3,3,1,normal,0,13,4,0,9
438,439,2013,Pune,9,8,9,0,normal,0,8,0,5,37
439,440,2013,Chandigarh,14,5,5,1,normal,0,14,30,0,27
440,441,2013,Ranchi,13,7,7,1,normal,0,7,0,5,15
441,442,2013,Jaipur,0,10,10,1,normal,0,10,0,5,32
442,443,2013,Delhi,3,5,5,1,normal,0,5,0,5,9
443,444,2013,Mumbai,14,8,14,0,normal,0,8,0,7,40
444,445,2013,Ranchi,9,7,7,1,normal,0,9,7,0,15
445,446,2013,Chennai,0,3,0,0,normal,0,0,33,0,20
446,447,2013,Mumbai,8,10,10,1,normal,0,8,14,0,40
447,448,2013,Chandigarh,13,5,5,1,normal,0,5,0,6,27
448,449,2013,Hyderabad,14,10,14,0,normal,0,14,23,0,28
449,450,2013,Dharamsala,5,8,8,1,normal,0,5,50,0,12
450,451,2013,Pune,9,3,9,0,normal,0,9,38,0,37
451,452,2013,Bangalore,13,0,0,1,normal,0,13,24,0,17
452,453,2013,Hyderabad,7,14,7,0,normal,0,14,0,5,28
453,454,2013,Delhi,0,8,0,0,normal,0,0,48,0,9
454,455,2013,Delhi,14,10,14,0,normal,0,10,0,4,9
455,456,2013,Kolkata,10,8,10,0,normal,0,8,0,4,8
456,457,2013,Kolkata,8,0,8,0,normal,0,8,23,0,8
